,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,stab_9,stab_9,Data,Data,Data,num
160,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1
161,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,2
162,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1
163,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,10
164,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,4
165,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,19
166,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
167,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1
168,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,7
169,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2
170,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3
171,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
172,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,269
173,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
174,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3
175,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1
176,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1
177,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,3
178,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4
179,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
180,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,14
181,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,67
182,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,13
183,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,8
184,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,7
185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,134
186,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,2
187,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,8
188,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1
189,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
190,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,45
