,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
264,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,2
265,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,18
266,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
268,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,2
269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4
270,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,9
271,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,4
272,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
273,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,4
274,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,7
275,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,6
276,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,4
277,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,7
278,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,14
279,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,6
280,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1
281,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3
282,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,12
283,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,5
284,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,4
285,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
286,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,3
287,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
288,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,4
289,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,2
290,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
291,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3
292,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,7
293,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,3
294,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,3
295,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,9
296,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2
297,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
298,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
299,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
300,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
301,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
302,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,13
303,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,10
304,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,22
305,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1
306,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,4
307,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,3
308,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,11
309,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,7
310,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,4
311,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,2
312,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,4
313,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,5
314,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2
315,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,2
316,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,3
317,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2
318,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2
319,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1
320,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,2
