,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
174,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,9
175,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
177,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,7
178,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
179,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
180,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
181,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,5
182,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1
183,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,3
184,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1
185,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1
186,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,7
187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,119
188,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,7
189,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1
190,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1
191,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,3
192,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,6
193,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,7
194,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,2
195,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,2
196,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,12
197,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
198,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,3
199,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,38
200,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
201,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
202,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,5
203,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3
204,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,15
205,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,5
206,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,10
207,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,12
208,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,124
209,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,5
210,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2
211,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
212,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,5
213,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,10
214,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,15
215,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,17
216,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,3
217,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4
218,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1
219,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,14
220,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,9
221,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
222,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1
223,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,7
224,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,7
225,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
226,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,2
227,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5
228,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,9
229,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,5
230,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
231,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,6
232,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,6
233,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,2
234,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,90
235,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,8
