,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,Data,Data,Data,num
406,1,1,1,1,1,0,0,0,1,0,1,3
407,0,1,1,1,0,1,0,1,1,0,0,1
408,0,1,0,1,0,1,0,0,0,1,0,1
409,0,1,0,0,0,0,1,0,0,0,1,4
410,0,0,1,0,0,0,0,0,0,1,0,1
411,0,0,1,0,1,1,1,1,0,1,0,1
412,0,1,0,0,0,1,0,0,0,1,1,3
413,1,0,1,1,0,1,0,0,1,0,1,1
414,1,0,0,0,0,1,0,1,1,0,0,2
415,1,1,0,0,1,0,0,0,1,0,0,1
416,0,1,1,1,1,0,0,0,1,1,0,1
417,1,0,1,0,0,1,0,1,1,0,0,1
418,0,0,0,1,0,1,0,1,1,0,1,1
419,1,1,1,1,0,1,1,1,0,1,0,3
420,0,1,1,1,0,1,1,1,0,1,0,2
421,0,0,0,1,0,0,0,0,1,1,0,1
422,1,1,0,0,0,1,0,1,0,0,1,1
423,0,0,0,1,0,0,0,0,0,1,0,2
424,1,0,1,1,0,0,1,0,1,0,0,1
425,0,1,1,0,1,1,1,1,1,1,0,1
426,1,0,1,0,0,1,1,0,1,0,0,1
427,0,1,0,0,0,0,1,0,0,0,0,4
428,1,1,1,0,1,0,1,0,0,1,1,1
429,0,1,0,0,1,0,0,0,0,0,0,1
430,0,1,0,0,1,1,0,0,0,0,1,1
431,0,0,1,0,0,0,1,0,0,0,0,3
432,0,0,1,1,0,0,0,0,0,0,0,4
433,0,1,0,1,0,1,1,1,0,1,0,1
434,1,1,1,0,1,0,1,0,1,1,1,1
435,1,0,1,0,0,0,0,0,0,1,1,3
436,1,1,1,0,0,1,0,0,1,0,0,1
437,1,0,1,0,0,1,0,0,0,1,0,1
438,0,1,0,1,1,1,0,1,0,1,0,4
439,1,1,1,1,1,0,1,0,0,1,0,2
440,0,1,1,1,1,1,0,1,1,1,0,1
441,0,0,0,1,0,0,0,0,0,1,1,1
442,1,1,0,1,1,0,0,0,0,1,0,1
443,1,0,1,1,1,0,0,0,0,1,1,4
444,0,0,0,0,0,0,0,1,1,0,1,1
445,0,0,1,1,1,1,0,1,1,0,0,1
446,0,1,0,1,0,1,0,0,1,1,0,2
447,1,1,1,1,1,0,1,1,0,1,0,2
448,0,0,1,1,1,0,0,0,0,0,1,1
449,0,1,1,0,1,1,0,0,1,1,0,1
450,0,1,0,1,0,1,0,1,1,0,0,1
451,0,1,0,1,1,0,1,0,1,1,0,1
452,1,1,1,1,0,1,1,1,0,0,0,1
453,1,0,1,0,1,0,0,0,0,1,0,2
454,1,1,0,0,0,0,0,1,0,1,1,2
455,1,0,0,0,0,1,0,0,1,0,0,3
456,0,1,0,0,0,1,0,1,1,0,1,1
457,0,1,1,1,0,1,0,1,1,1,1,2
458,1,1,1,0,1,1,1,1,1,1,1,1
459,0,1,1,1,1,1,1,0,0,1,1,1
460,1,0,1,0,1,0,1,1,1,0,0,4
461,1,0,1,1,0,0,1,0,0,1,0,1
462,1,1,1,1,1,1,1,0,0,0,0,1
463,1,1,1,1,0,1,1,1,0,1,1,1
464,1,1,1,1,1,1,0,0,1,1,0,3
465,0,0,1,1,0,0,0,0,0,1,0,1
466,1,0,1,0,0,1,1,0,0,1,1,1
467,1,1,1,1,1,0,1,0,0,1,1,1
468,0,0,0,1,1,0,0,0,0,0,1,1
469,1,0,1,1,1,1,1,1,1,1,1,1
470,0,1,0,1,1,1,0,0,1,0,0,1
471,1,1,1,0,1,1,1,1,0,1,0,3
472,1,1,0,1,0,0,0,1,0,1,1,1
473,1,1,1,0,1,1,0,0,0,1,1,2
474,0,0,0,0,0,1,0,0,1,0,1,2
475,0,1,0,0,0,1,0,1,1,0,0,1
476,0,1,1,1,0,0,1,0,1,1,0,1
477,1,1,0,1,0,1,0,1,1,0,0,1
478,0,1,1,1,1,1,0,1,1,1,1,1
479,1,0,1,0,1,1,1,1,0,1,0,2
480,0,1,1,1,1,1,1,0,0,0,0,1
481,0,1,0,1,0,0,0,0,1,1,0,2
482,0,1,0,0,0,1,1,0,0,0,0,1
483,0,1,1,1,0,1,1,1,1,1,1,1
484,1,1,1,0,0,1,1,0,1,0,0,1
485,1,1,0,1,1,0,0,0,0,0,0,1
486,1,0,1,1,0,1,0,0,1,0,0,2
487,1,0,1,1,1,1,1,0,1,0,1,1
488,1,0,1,0,0,1,0,0,0,1,1,3
489,1,0,0,0,0,1,0,1,1,0,1,1
490,1,1,0,1,1,1,1,1,1,0,1,1
491,1,1,0,1,0,1,1,1,0,0,0,1
492,1,1,1,1,0,0,0,0,1,0,0,1
493,0,0,0,0,0,0,1,0,1,1,0,1
494,1,1,0,1,1,0,0,0,1,1,0,1
495,0,1,0,1,1,1,0,0,0,0,0,2
496,0,1,0,0,1,0,1,0,0,0,0,1
497,1,0,1,1,0,1,0,1,1,0,1,1
498,0,1,0,0,0,1,1,1,0,0,0,1
499,1,0,1,0,1,0,1,0,0,1,0,1
500,1,1,1,1,1,1,0,1,1,1,1,2
501,1,0,1,1,1,1,0,1,0,1,1,1
502,0,1,1,1,0,1,0,0,1,1,0,2
503,1,0,0,1,0,1,0,0,1,0,0,1
504,1,0,1,1,0,0,0,0,0,0,1,1
505,1,1,1,0,0,0,0,1,0,1,0,2
506,0,1,1,1,0,1,0,0,0,1,1,1
507,1,0,1,1,1,1,1,0,0,1,1,1
508,1,1,1,0,1,1,0,1,1,0,1,1
509,1,0,1,1,1,1,0,1,1,1,1,1
510,0,0,0,0,1,0,1,0,0,1,0,1
511,1,0,1,0,1,1,1,0,0,0,0,1
512,0,1,0,0,0,1,1,0,0,0,1,1
513,0,1,1,1,0,1,0,1,1,0,1,1
514,0,1,0,0,1,1,0,0,1,1,0,1
515,1,1,0,0,1,1,1,0,0,1,0,1
516,0,1,0,0,1,1,0,1,0,0,1,1
517,0,1,0,1,0,0,0,1,0,1,1,1
518,0,1,0,1,1,1,0,1,1,0,1,1
519,1,1,0,0,0,1,0,0,1,1,1,1
520,1,1,0,0,0,1,0,0,1,0,0,2
521,1,1,1,0,1,0,0,1,1,0,0,1
522,1,0,1,1,1,1,0,1,1,0,1,1
523,0,1,0,0,0,0,0,1,0,1,1,1
524,0,1,0,1,0,1,1,1,0,0,1,1
525,1,1,1,1,0,1,0,0,0,1,1,1
526,0,1,0,1,0,1,0,0,1,0,1,2
527,0,1,0,1,0,1,1,1,0,0,0,2
528,0,1,1,1,1,0,0,0,1,0,1,1
