,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
287,0,0,0,0,0,1,0,0,1,1,0,0,0,21
288,0,0,0,0,0,0,1,0,1,1,1,0,0,5
289,1,0,0,0,0,0,0,1,1,0,0,0,0,31
290,0,0,0,0,0,0,1,0,0,1,0,0,0,48
291,0,1,1,0,0,0,0,1,1,0,0,1,0,8
292,0,0,1,0,0,0,1,0,0,0,1,0,1,4
293,0,0,0,0,0,1,0,1,0,0,0,1,1,1
294,1,0,1,0,0,0,0,1,0,0,0,1,0,87
295,0,0,1,0,1,1,1,0,0,0,0,0,0,2
296,1,0,1,1,1,0,0,1,0,0,0,1,0,2
297,1,0,1,1,0,0,0,0,0,0,1,0,0,15
298,0,0,1,1,0,0,1,0,0,0,0,0,0,8
299,0,0,1,0,0,1,0,1,0,0,0,0,0,9
300,0,0,1,0,0,0,0,1,1,1,1,1,0,12
301,0,0,1,0,0,0,1,1,0,0,0,0,0,6
302,0,0,0,0,0,0,0,1,0,0,1,0,1,42
303,0,0,1,1,1,0,0,1,0,0,0,0,1,8
304,1,0,0,0,0,0,0,1,0,0,1,1,0,12
305,0,0,0,0,0,0,0,0,0,1,0,1,0,60
306,0,1,0,1,0,0,0,1,1,1,0,1,0,1
307,0,0,1,0,1,0,0,0,1,1,0,0,0,15
308,0,0,1,1,1,0,0,1,1,0,0,0,0,5
309,0,1,0,0,0,0,0,1,1,0,0,0,1,4
310,1,0,1,0,0,0,0,1,0,0,0,0,1,5
311,0,0,1,1,1,0,0,0,1,0,1,0,0,9
312,0,0,0,1,1,0,0,0,1,1,0,0,0,25
313,0,0,0,1,1,0,0,1,0,0,0,1,0,36
314,0,0,0,0,1,1,0,0,0,0,1,0,0,2
315,0,0,1,1,0,0,0,0,1,1,0,0,0,11
316,1,0,1,1,1,0,0,0,1,1,0,0,0,3
317,0,0,0,1,1,0,0,0,0,1,0,1,0,6
318,1,1,0,0,0,0,0,1,0,1,0,0,1,2
319,1,0,0,0,1,0,0,1,0,0,0,1,0,11
320,1,0,1,0,0,0,0,0,1,1,0,0,0,12
