,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
188,1,1,0,0,0,0,1,0,1,0,1,1,1,4
189,0,1,0,0,0,1,0,1,1,0,1,1,1,2
190,0,1,0,1,0,1,0,1,1,1,0,0,1,5
191,1,0,0,0,0,1,0,0,1,0,1,1,1,8
192,1,0,0,1,1,1,0,1,1,1,1,1,0,1
193,0,1,0,0,0,0,0,1,1,1,1,1,0,1
194,1,1,0,0,0,0,0,0,0,1,0,1,1,4
195,0,0,0,1,0,0,0,1,1,1,1,0,0,13
196,0,0,0,0,1,1,0,0,1,1,1,1,0,2
197,0,0,0,1,0,0,1,0,1,1,1,1,0,5
198,1,0,1,1,0,0,0,0,1,1,1,0,1,3
199,1,1,0,0,0,1,0,0,1,1,1,1,1,38
200,0,0,1,0,0,0,0,0,1,1,0,1,1,10
201,1,0,0,0,1,0,1,0,0,1,1,1,1,4
202,1,0,1,1,0,0,0,1,1,1,1,1,0,1
203,1,0,1,1,1,0,0,0,1,1,1,0,1,2
204,0,0,0,0,0,0,0,0,0,1,1,0,1,11
205,0,0,0,0,0,0,0,1,1,1,0,1,1,4
206,0,0,0,1,0,0,1,1,1,1,1,1,0,5
207,0,0,1,1,0,0,0,1,0,1,1,0,1,3
208,0,1,1,0,0,0,0,0,1,0,0,1,1,2
209,0,1,1,1,0,1,0,1,1,1,0,1,0,3
210,1,0,0,0,0,0,0,1,1,1,1,1,1,5
211,0,1,0,0,0,1,1,0,1,1,1,1,1,4
212,1,0,0,0,0,0,0,0,0,1,1,1,0,20
213,1,0,0,0,0,0,0,0,1,1,1,1,0,8
214,1,1,1,0,0,1,0,0,1,1,0,1,1,12
215,0,0,0,0,0,0,1,0,1,1,1,1,0,5
216,1,0,1,1,0,0,0,1,0,1,1,1,1,5
217,0,0,1,1,0,0,0,0,1,1,1,1,1,10
218,1,0,0,1,0,1,0,1,1,0,1,1,0,1
219,1,1,0,1,1,0,0,0,1,0,1,1,0,2
220,1,0,0,0,1,0,0,1,0,1,1,1,1,3
221,1,1,1,0,1,1,0,0,1,0,1,1,1,2
222,0,0,0,0,0,0,0,1,1,1,1,0,1,6
223,1,1,0,0,0,1,1,0,1,1,0,1,1,2
224,1,1,0,0,0,1,0,0,1,0,0,1,1,6
225,0,1,0,1,0,1,0,1,1,1,0,1,1,1
226,1,1,0,0,0,1,0,0,1,1,1,1,0,2
227,0,0,1,1,0,0,1,0,0,1,1,0,1,2
228,1,0,1,1,0,0,1,1,1,1,1,0,1,1
229,0,1,0,0,0,1,0,0,1,1,1,1,0,2
230,0,1,1,0,1,0,0,0,1,1,0,1,1,2
231,0,0,0,1,0,1,0,0,1,1,1,1,0,9
232,0,0,0,0,0,1,0,0,1,1,0,1,1,6
233,1,0,0,0,0,0,1,1,0,1,1,1,1,1
234,1,1,0,1,0,0,0,0,1,0,1,1,0,3
235,1,1,1,1,1,0,0,0,1,0,1,0,1,2
236,1,1,0,0,1,1,1,0,1,0,1,1,1,6
237,0,0,0,0,1,0,1,0,1,1,1,1,1,6
238,0,1,1,1,0,1,0,0,1,1,0,1,0,4
239,0,0,0,1,0,0,1,1,1,1,1,1,1,8
240,0,0,0,0,0,1,1,0,1,1,1,1,1,18
241,0,1,1,0,0,1,1,1,1,1,0,1,1,5
242,0,1,0,0,1,0,0,0,1,1,0,1,1,1
243,1,1,1,1,1,1,0,0,1,1,1,0,1,1
