,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,Data,Data,Data,Data,Data,num
198,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1
199,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
200,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,2
201,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1
202,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,20
203,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,14
204,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,12
205,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
206,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1
207,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,3
208,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1
209,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12
210,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,3
211,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,2
212,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3
213,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,16
214,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,37
215,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,4
216,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,25
217,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,7
218,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,12
219,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,6
220,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,21
221,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
222,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,11
223,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
224,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,3
225,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,2
226,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,15
227,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,59
228,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1
229,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,5
230,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,16
231,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3
232,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,2
233,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,7
234,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,3
235,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,6
236,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,5
237,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,6
238,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,9
239,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,2
240,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,7
241,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,2
242,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,2
243,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
244,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,16
245,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
246,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,3
247,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
248,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,5
249,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,37
250,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,6
251,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,6
252,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1
253,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,6
254,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,3
255,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,2
256,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,28
257,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,6
258,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,3
259,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,7
260,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,6
261,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,8
262,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,16
263,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1
264,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,12
265,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,15
266,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
267,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,7
268,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1
269,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,5
270,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6
271,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1
272,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,5
273,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,3
274,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,5
275,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,10
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,15
277,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1
278,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,5
279,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,40
280,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,25
281,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,2
282,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,3
283,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,2
284,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,6
285,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,9
286,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,7
287,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,33
288,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1
289,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10
290,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,3
291,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,2
292,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
293,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1
294,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,15
295,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,6
296,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,9
297,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4
298,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1
299,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1
300,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,3
301,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,2
302,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,2
303,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,4
304,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,3
305,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,12
306,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,3
307,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,2
308,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1
309,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1
310,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,6
311,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,14
312,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1
313,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,2
314,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,10
315,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1
316,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,4
317,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,3
318,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,2
319,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,2
320,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,5
321,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,5
322,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1
323,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,2
