,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,stab_4,stab_4,stab_4,stab_4,Data,Data,Data,Data,Data,num
188,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,7
189,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
190,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2
191,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,18
192,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1
193,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1
194,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,9
195,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1
196,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7
197,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,6
198,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,6
199,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,2
200,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1
201,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,2
202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,8
203,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,5
204,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
205,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
206,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
207,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,8
208,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,25
209,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,3
210,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,7
211,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,5
212,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3
213,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,4
214,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1
215,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,9
216,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,9
217,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,12
218,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1
219,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,6
220,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2
221,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
222,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,9
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,19
224,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
225,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,3
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,6
227,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,20
