,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,Data,Data,Data,num
334,0,1,0,1,1,1,0,0,1,1,0,4
335,0,0,1,0,0,1,0,0,1,1,1,2
336,0,1,0,0,0,1,0,1,0,0,0,1
337,1,1,0,1,0,0,0,0,1,1,1,2
338,1,0,1,1,0,0,0,1,1,1,0,1
339,0,0,0,1,1,1,0,1,1,1,1,1
340,0,0,0,0,0,1,1,1,1,1,1,1
341,0,1,1,1,1,1,1,1,1,0,0,1
342,0,1,0,0,0,0,0,0,0,1,1,5
343,0,0,1,1,1,0,0,0,1,1,1,1
344,0,0,0,0,0,0,0,0,1,0,0,5
345,1,0,1,1,1,1,0,1,1,1,0,1
346,1,0,1,0,1,1,0,1,1,0,1,1
347,1,0,1,1,1,0,0,1,0,1,1,1
348,0,1,0,0,0,1,0,0,1,0,1,1
349,1,1,1,1,0,1,0,1,1,0,1,8
350,0,0,1,0,0,0,0,0,1,1,0,3
351,1,0,1,1,1,1,0,0,0,1,1,2
352,0,0,0,0,1,1,0,1,1,1,1,1
353,1,0,1,1,1,0,0,0,1,0,1,4
354,1,1,0,1,0,1,0,1,1,1,1,10
355,0,0,1,1,0,1,0,1,1,0,0,1
356,1,0,1,0,1,1,0,0,0,1,1,2
357,0,0,0,1,0,1,0,0,0,1,1,3
358,1,1,1,1,0,1,1,1,1,0,1,2
359,1,1,0,0,1,0,0,0,1,0,1,1
360,1,1,1,1,1,0,1,0,1,0,1,6
361,1,0,0,0,0,0,0,0,1,0,0,5
362,1,0,1,1,1,1,1,1,1,0,0,2
363,1,1,1,0,0,0,0,0,1,1,0,3
364,1,1,1,1,1,0,1,0,1,1,1,2
365,0,1,0,1,1,1,0,1,1,1,1,7
366,1,0,1,1,1,0,0,0,1,0,0,4
367,1,1,0,0,0,1,0,0,1,0,0,1
368,1,0,1,0,1,1,1,0,0,1,1,3
369,1,0,1,0,1,1,0,1,1,0,0,3
370,1,1,1,0,1,0,0,0,0,0,1,2
371,0,1,1,0,1,0,1,0,0,1,1,1
372,1,1,1,1,1,1,1,1,1,0,0,2
373,1,0,1,0,0,1,0,0,0,1,1,4
374,0,1,1,1,1,0,0,1,1,1,0,1
375,1,1,1,0,1,1,1,0,1,0,1,1
376,1,1,0,0,0,1,0,0,1,1,1,3
377,1,1,0,1,1,1,0,0,1,1,0,1
378,1,0,1,0,0,0,0,0,1,1,0,2
379,0,0,0,0,1,1,0,0,1,1,1,4
380,0,1,0,1,0,1,0,1,0,0,1,2
381,0,0,0,0,0,1,0,1,0,1,1,3
382,0,1,0,1,0,0,0,1,1,0,1,1
383,1,0,0,0,0,0,0,1,1,1,1,4
384,1,1,1,0,1,0,0,1,0,1,1,1
385,1,1,1,1,0,1,0,1,0,0,0,2
386,1,1,1,1,0,1,0,0,1,1,1,1
387,1,1,0,1,1,1,1,1,0,0,0,2
388,0,0,0,0,1,0,0,0,1,1,0,1
389,1,0,1,1,1,0,0,0,0,1,1,2
390,0,0,1,1,0,0,0,0,0,0,0,1
391,1,1,1,1,0,1,0,1,0,0,1,1
392,1,1,1,1,1,1,0,0,1,1,1,2
393,0,0,0,1,1,1,0,0,1,1,0,1
394,1,0,1,0,1,0,0,0,1,0,0,2
395,1,0,0,0,0,0,0,0,0,1,0,3
396,0,1,0,1,0,1,1,0,1,1,1,1
397,1,1,0,0,0,1,0,1,1,1,1,2
398,1,1,0,1,0,1,1,1,1,0,1,2
399,1,0,0,0,1,1,0,1,1,0,0,1
400,0,1,0,1,0,1,1,1,1,0,0,1
401,0,1,1,1,0,0,0,0,1,0,0,2
402,0,1,0,1,1,1,1,1,0,1,0,1
403,0,0,0,0,0,1,1,0,1,1,1,2
404,0,0,0,1,0,0,0,0,1,0,0,2
405,0,1,1,1,0,1,0,1,0,1,0,1
406,1,1,1,1,1,1,0,1,1,1,1,4
407,1,1,0,0,1,0,0,0,0,1,0,2
408,0,1,0,0,0,1,1,1,1,1,0,1
409,0,1,0,1,1,1,1,1,1,0,0,2
410,1,0,0,1,0,1,0,0,1,1,0,1
411,0,1,0,0,1,1,1,1,1,0,0,1
412,0,0,0,1,0,1,0,0,0,1,0,1
413,1,1,0,0,0,1,0,0,0,1,0,2
414,1,0,0,1,0,0,0,0,0,1,1,4
415,1,1,1,1,1,1,0,0,1,0,0,2
416,0,1,0,1,0,1,1,1,1,0,1,2
417,0,1,1,0,1,0,0,1,1,0,1,1
418,0,0,0,0,0,1,0,0,0,1,1,3
419,1,0,1,0,1,1,1,0,0,1,0,1
420,1,1,1,1,0,0,0,1,1,0,0,1
421,1,1,0,1,1,1,1,1,1,1,0,2
422,0,0,0,0,1,0,0,1,1,1,1,2
423,0,1,0,1,0,0,1,0,1,1,0,2
424,0,1,0,1,1,0,0,0,1,0,1,1
425,1,0,1,0,0,0,1,1,0,1,1,1
426,1,0,0,0,0,1,0,0,1,0,0,1
427,1,0,0,1,0,0,0,1,1,0,1,1
428,0,0,1,1,0,1,1,1,1,0,0,1
429,1,1,1,0,1,0,1,0,1,1,1,1
430,1,0,1,1,1,0,1,0,1,0,1,3
431,1,0,1,0,1,1,1,1,0,1,1,1
432,1,1,1,0,1,0,1,0,0,1,0,2
433,1,1,1,0,1,0,1,0,1,0,1,2
434,0,0,0,0,1,0,0,0,1,0,1,1
435,1,0,1,0,1,0,1,0,0,0,0,1
436,1,1,0,1,0,1,0,1,0,0,1,1
437,0,0,0,1,0,1,1,1,1,1,1,1
438,1,0,0,0,0,1,0,1,1,0,1,1
439,0,1,1,0,0,0,0,0,0,0,1,2
440,0,1,0,1,1,1,0,1,1,0,1,3
441,1,1,0,1,0,1,1,1,1,0,0,1
442,0,0,1,0,0,0,0,0,1,0,1,1
443,1,0,0,1,0,1,0,0,1,0,1,2
444,0,0,0,0,1,0,1,0,0,0,0,1
445,0,1,1,1,0,1,0,0,0,0,0,1
446,0,0,1,0,1,0,1,0,0,0,1,1
447,0,1,0,1,1,0,1,0,0,0,1,2
448,0,1,0,1,1,1,1,0,0,0,1,1
449,1,0,1,0,0,0,0,0,0,0,1,1
450,1,0,1,0,1,0,1,0,0,0,1,1
