,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,Data,Data,num
228,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,16
229,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,8
230,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2
231,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
232,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,6
233,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4
234,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1
235,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1
236,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1
237,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14
238,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
239,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,4
240,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22
241,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12
242,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
243,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4
244,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
245,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,4
246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
247,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7
248,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3
249,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,4
250,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1
251,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4
252,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
