,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_3,stab_3,stab_3,stab_3,Data,Data,Data,Data,Data,num
277,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2
278,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2
279,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1
280,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
281,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,4
282,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,16
283,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
284,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2
285,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7
286,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4
287,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,2
288,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2
289,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2
290,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1
291,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1
292,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
293,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,8
294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
295,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8
296,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
297,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1
298,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,5
299,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,57
300,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
301,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,3
302,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1
303,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,18
304,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
305,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
306,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,5
307,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7
308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
309,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
310,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
311,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
312,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
313,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,3
314,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13
315,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1
316,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,17
317,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1
318,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,20
319,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,6
320,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1
321,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
322,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
323,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3
324,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2
