,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,Data,Data,Data,num
383,1,1,1,0,0,0,0,1,0,0,0,1,0,2
384,0,0,0,0,0,0,1,0,1,0,0,0,0,4
385,1,1,1,1,1,0,1,1,0,0,0,1,0,5
386,0,1,0,0,1,0,0,0,0,0,0,0,0,2
387,0,0,0,1,1,1,0,0,0,0,1,1,0,2
388,1,0,1,0,1,0,1,1,1,0,1,0,0,5
389,0,0,0,0,0,1,1,0,0,0,0,0,0,4
390,0,0,0,0,0,0,1,0,0,0,0,0,1,2
391,1,1,1,1,1,0,1,0,1,1,0,1,0,3
392,1,0,1,1,0,1,0,1,0,1,1,0,0,2
393,0,1,1,1,1,1,1,0,0,0,1,1,0,1
394,0,1,0,1,0,0,0,1,1,0,0,0,1,2
395,0,1,1,1,1,1,0,1,1,1,0,0,0,3
396,1,0,0,0,0,0,0,0,1,0,0,0,0,1
397,1,1,1,1,1,0,1,0,0,0,0,1,0,2
398,0,0,1,0,0,1,1,1,1,1,0,0,0,1
399,1,1,0,1,0,0,0,0,1,0,1,0,1,1
400,0,0,0,0,0,0,0,1,1,0,0,0,1,1
401,0,1,1,1,0,1,0,1,0,1,0,0,1,6
402,0,1,0,1,0,1,0,0,0,0,1,1,0,4
403,0,1,0,0,0,0,0,0,0,1,0,1,0,1
404,1,0,1,1,1,0,0,1,0,0,0,1,0,1
405,0,1,0,1,0,1,0,1,0,1,0,1,1,8
406,1,0,1,1,1,0,0,0,0,0,1,0,0,4
407,0,0,1,1,1,0,0,0,0,0,0,1,0,1
408,0,0,0,0,0,1,0,1,1,0,1,1,1,1
409,1,1,1,0,0,0,0,0,0,0,0,0,0,2
410,1,0,0,0,0,0,1,0,0,0,0,1,0,1
411,0,0,0,1,1,1,1,1,1,1,0,1,1,1
412,0,0,0,0,0,0,0,1,0,1,0,0,1,10
413,1,0,0,1,0,0,0,0,0,0,0,1,0,6
414,1,1,0,1,0,1,0,0,0,0,0,1,0,1
415,1,0,1,1,0,0,0,0,0,0,0,1,0,8
416,0,1,0,1,0,0,0,1,0,1,0,0,0,9
417,0,1,1,1,0,1,0,1,0,0,0,0,1,3
418,1,0,1,1,1,1,0,1,0,0,0,1,1,1
419,1,1,1,1,0,1,0,1,0,1,0,0,0,4
420,0,0,0,0,0,0,0,0,0,1,0,1,0,5
421,1,0,1,0,1,1,1,0,1,0,0,1,1,1
422,1,0,0,0,0,0,0,1,0,0,0,1,0,9
423,1,0,1,1,1,1,1,1,0,0,0,1,0,5
424,0,1,0,0,1,0,1,0,0,0,0,0,1,1
425,1,1,1,0,1,0,0,1,0,0,1,0,1,1
426,1,1,0,1,1,1,0,1,0,0,0,0,1,5
427,0,1,0,1,1,1,1,0,0,0,0,0,1,1
428,1,1,0,0,0,1,0,0,0,0,0,0,1,1
429,0,0,0,0,0,1,0,0,0,0,0,1,0,4
430,0,1,1,1,1,1,1,1,0,0,0,1,1,1
431,1,0,1,0,0,0,1,0,1,0,1,0,0,3
432,0,0,1,0,0,1,0,0,0,0,0,0,0,3
433,1,1,1,0,0,0,0,0,0,1,1,0,0,1
434,1,1,1,0,1,1,0,0,0,0,0,1,1,2
435,0,1,1,0,0,0,0,0,1,0,0,1,0,1
436,1,0,1,0,1,1,0,1,0,1,0,1,1,1
437,1,0,1,1,1,0,1,0,0,0,1,0,0,10
438,0,1,0,1,0,1,0,0,0,0,0,1,1,5
439,0,1,0,0,0,1,1,0,0,0,0,0,0,1
440,1,0,0,0,0,1,0,1,0,1,1,0,0,1
441,1,0,0,0,1,0,0,1,0,0,0,1,0,1
442,0,0,0,0,1,0,0,1,0,1,0,0,0,1
443,1,0,0,0,0,0,0,0,0,0,1,0,1,3
444,0,0,1,0,1,0,1,0,1,0,0,0,0,5
445,1,1,1,1,0,1,0,0,1,0,1,0,1,1
446,1,0,0,0,0,0,0,1,0,0,0,0,0,2
447,1,1,1,1,1,1,0,0,0,1,0,1,0,2
448,0,0,1,0,0,0,0,1,0,0,1,0,0,1
449,0,1,1,1,0,1,0,0,0,0,0,0,0,1
450,1,1,0,1,1,1,1,1,1,1,0,0,0,1
451,1,1,1,1,1,1,0,1,1,0,0,1,0,1
452,0,0,0,0,0,1,0,1,0,1,0,0,1,11
453,1,0,1,1,1,1,0,0,0,0,0,1,1,2
454,1,0,0,1,0,0,0,0,0,1,1,0,0,1
455,1,1,1,1,1,0,1,1,1,1,0,1,0,6
456,1,0,0,0,1,0,0,0,0,0,0,0,0,3
