,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,Data,Data,Data,num
305,1,1,0,1,1,1,1,0,1,0,1,2
306,1,0,0,0,0,1,1,0,1,1,1,1
307,1,1,0,0,1,0,0,0,1,0,1,2
308,1,0,0,0,1,0,0,0,1,0,1,1
309,1,0,1,0,0,0,0,0,0,0,1,4
310,1,0,1,1,1,0,1,0,0,1,1,2
311,0,1,0,1,0,1,0,1,0,0,1,3
312,0,0,0,0,0,0,1,0,0,1,1,2
313,0,0,1,0,0,0,0,1,1,1,1,4
314,1,0,1,0,1,1,1,0,1,0,0,1
315,1,0,1,0,0,1,0,1,1,0,0,3
316,1,0,0,0,0,0,0,0,0,0,1,2
317,0,0,0,0,0,0,0,0,1,0,0,2
318,1,0,1,1,1,1,0,0,1,0,0,2
319,1,1,1,1,0,1,0,0,0,1,1,1
320,0,1,1,0,0,1,0,1,1,1,1,1
321,0,1,0,0,0,1,0,1,1,0,1,1
322,1,0,1,1,0,0,0,0,1,0,0,2
323,0,1,0,0,0,1,0,1,0,1,1,1
324,0,0,0,1,0,1,0,1,1,0,0,1
325,1,0,1,0,1,0,1,0,1,0,0,1
326,1,1,1,0,0,0,0,1,0,1,1,1
327,1,1,1,0,0,0,1,0,0,1,1,1
328,1,0,1,1,1,1,0,0,1,1,1,1
329,1,0,1,1,1,0,1,0,1,0,1,1
330,0,1,1,0,1,1,1,1,1,1,0,1
331,1,0,0,0,0,1,0,1,1,0,1,2
332,1,0,1,1,0,1,0,1,0,1,1,1
333,0,0,1,0,0,0,0,0,0,0,1,1
334,1,1,1,0,1,0,1,0,0,0,1,1
335,0,1,0,1,0,0,0,0,0,1,0,4
336,1,0,1,0,0,0,0,1,0,1,0,1
337,1,0,1,1,1,1,1,1,0,1,0,1
338,1,1,1,1,1,0,1,0,0,1,0,2
339,0,0,0,0,1,0,0,0,0,1,1,1
340,0,0,0,0,1,0,1,0,0,1,1,1
341,0,1,0,1,0,0,0,1,0,1,1,2
342,1,0,1,1,1,0,0,0,0,1,1,2
