,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,Data,Data,num
195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73
196,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,10
197,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1
198,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
199,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
200,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,11
201,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2
202,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2
203,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6
204,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
205,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,8
206,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
207,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2
208,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,28
209,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,13
210,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
211,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,8
212,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,7
213,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
214,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4
215,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1
216,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,6
217,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3
218,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
219,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
220,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,13
221,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12
222,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12
223,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
224,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
225,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
226,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2
227,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11
228,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
229,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10
230,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9
231,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12
232,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,2
233,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1
234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13
235,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4
236,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,12
237,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8
238,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
240,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19
241,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,8
242,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2
243,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,2
244,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,4
245,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15
246,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
247,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1
248,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7
249,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12
