,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,num
219,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
220,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7
221,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
222,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5
223,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13
224,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4
225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6
226,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,48
227,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,23
228,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3
229,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,5
230,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,5
231,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,32
232,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,4
233,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6
234,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,2
235,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5
236,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4
237,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2
238,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,2
239,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,8
240,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1
241,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1
242,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,16
243,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2
244,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,5
245,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2
246,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6
247,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
248,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
249,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,6
250,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,28
251,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
252,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,8
253,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,13
254,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,12
255,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,2
256,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3
257,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
258,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4
259,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1
260,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
261,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
262,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4
263,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13
264,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2
265,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,23
266,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,11
267,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14
268,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,8
269,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19
270,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
271,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2
272,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
273,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,5
274,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,3
275,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2
276,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,8
277,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,12
278,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,10
279,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1
280,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,9
281,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,5
282,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,10
283,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,32
284,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2
285,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1
286,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5
287,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2
288,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7
289,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,8
290,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,13
291,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2
292,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,22
293,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2
294,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,8
295,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
296,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,4
297,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,2
298,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,8
299,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3
300,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,14
301,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11
302,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
303,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5
304,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
305,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1
306,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,19
307,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
308,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2
309,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,34
310,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14
311,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,8
312,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1
313,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,9
314,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21
315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
316,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5
317,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1
318,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11
319,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,3
320,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1
321,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,5
322,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,6
323,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1
324,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1
325,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1
326,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
327,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,3
328,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,2
329,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,7
330,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,5
331,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1
