,stab_1,stab_1,stab_1,stab_1,stab_2,stab_2,stab_2,stab_2,Data,Data,Data,Data,Data,num
206,0,0,0,1,0,0,1,1,1,1,1,1,0,6
207,1,0,0,1,0,0,0,0,0,1,1,0,1,1
208,1,0,0,1,1,0,0,0,0,1,1,1,0,8
209,1,1,0,1,0,0,0,0,1,0,1,1,1,8
210,0,1,0,0,0,1,0,0,1,1,1,1,0,4
211,0,0,1,1,0,1,0,0,1,1,1,0,1,13
212,0,1,0,1,0,1,0,0,1,1,1,1,1,6
213,0,0,1,1,0,0,0,0,1,1,1,0,0,6
214,1,1,0,0,0,1,0,1,1,1,1,1,1,2
215,1,0,1,1,0,0,0,0,0,1,0,0,1,1
216,0,0,0,1,0,0,0,1,1,1,1,0,1,11
217,1,0,0,0,1,0,1,0,0,1,1,1,1,4
218,1,1,1,1,0,0,1,1,1,0,1,0,1,5
219,0,0,0,1,0,0,1,0,1,1,1,1,1,3
220,1,1,1,1,0,0,0,1,1,0,1,0,1,1
221,1,1,0,1,1,1,0,1,1,0,1,1,1,10
222,0,1,1,0,0,1,1,0,1,1,1,0,1,2
223,1,0,0,0,1,0,0,0,1,1,1,0,1,3
224,1,0,1,1,0,0,1,1,1,0,1,0,1,1
225,1,0,0,0,1,0,0,0,0,1,0,1,1,8
226,0,1,1,1,0,1,1,1,1,1,0,1,1,7
227,0,1,0,0,1,1,0,0,0,0,1,1,1,5
228,0,0,1,1,1,0,0,0,1,1,1,0,1,7
229,1,0,0,0,0,0,1,0,1,0,1,1,1,2
230,1,0,0,1,0,0,0,1,1,0,1,1,0,4
231,0,0,0,1,0,1,0,0,1,1,1,1,0,5
232,0,1,0,0,0,0,1,0,1,1,0,1,1,3
233,0,1,1,0,0,0,0,0,1,1,1,0,0,1
234,0,1,0,1,0,0,0,0,1,0,1,1,1,2
235,1,1,0,0,0,0,0,0,1,0,1,1,0,7
236,1,1,0,0,1,1,0,0,1,0,1,0,1,6
237,1,1,1,1,1,0,1,0,1,0,1,0,1,1
238,0,0,0,1,0,0,1,1,1,1,1,0,1,4
239,0,0,0,1,0,0,1,1,1,1,1,1,1,1
240,1,0,0,1,0,0,0,1,1,0,1,1,1,5
241,0,0,1,0,0,1,0,0,1,1,0,1,1,6
242,0,1,0,1,0,1,0,0,1,1,1,1,0,4
243,0,1,1,0,1,1,0,0,1,1,0,1,0,1
244,0,0,1,0,0,0,0,0,0,1,1,0,0,1
245,1,0,0,0,0,0,0,0,1,1,1,0,1,4
246,0,0,1,0,0,0,0,0,1,1,1,1,0,1
247,1,0,0,1,0,1,0,0,1,0,1,1,0,1
248,0,1,0,0,0,1,1,0,1,1,0,1,1,4
249,1,1,0,1,0,0,0,0,1,0,1,1,0,9
250,0,1,1,1,0,0,0,1,1,1,0,1,0,5
251,0,0,0,0,0,0,0,0,0,1,1,1,0,11
252,0,0,1,0,0,0,0,1,1,1,1,1,1,1
253,0,1,0,0,1,0,0,0,0,0,1,1,1,8
254,1,0,0,0,1,1,0,0,1,1,1,1,0,1
255,0,1,1,1,0,0,0,0,1,1,0,1,0,1
256,1,0,0,1,0,0,0,0,1,1,1,0,1,1
257,1,1,1,0,0,1,1,0,0,1,1,1,1,1
258,1,0,1,0,1,1,1,0,1,0,0,1,1,3
259,1,0,1,0,0,1,0,0,1,0,0,1,1,2
260,0,1,0,1,0,0,0,0,1,1,0,1,1,2
261,1,1,1,1,1,1,1,0,1,0,1,0,1,3
262,1,0,0,1,0,1,0,1,1,0,0,0,0,1
263,0,0,1,0,1,0,0,0,1,1,1,1,1,2
264,0,1,1,0,0,0,1,0,1,1,1,1,1,5
265,0,1,0,0,0,1,1,0,1,1,0,0,1,2
266,1,0,1,0,1,0,0,0,0,1,1,1,1,4
267,0,0,1,1,0,1,1,1,1,1,1,0,1,8
268,1,1,0,0,0,0,0,1,0,1,1,1,1,1
269,0,1,0,0,0,0,0,0,1,0,1,0,1,1
270,1,1,0,1,0,0,0,1,1,1,1,1,1,1
271,0,1,1,1,0,0,0,0,1,1,1,0,1,7
272,1,0,0,0,0,1,0,0,1,0,1,0,1,1
273,0,0,0,1,0,0,0,0,1,1,0,1,0,3
274,0,0,0,0,1,0,0,0,1,1,1,0,1,5
275,0,1,0,1,0,0,0,1,1,1,0,1,1,4
276,1,0,0,1,0,0,0,0,0,1,1,1,1,3
277,1,1,0,1,1,1,0,1,1,0,1,1,0,3
278,1,0,0,0,1,0,0,0,0,0,1,1,1,9
279,0,0,1,1,0,0,0,0,1,1,1,1,1,3
280,1,0,1,1,1,0,1,0,0,1,1,0,1,1
281,0,1,1,0,0,1,1,0,1,1,0,1,0,8
282,1,0,1,0,0,1,1,0,0,1,1,1,1,1
283,0,1,1,0,0,1,0,0,0,0,1,1,1,1
284,0,0,1,0,0,0,0,0,1,0,0,1,1,1
285,1,1,0,0,1,1,0,0,1,1,1,1,0,1
286,0,0,1,1,0,0,1,1,1,1,1,0,0,4
287,0,1,1,0,0,1,1,1,1,1,0,1,1,4
288,0,0,1,1,0,0,0,0,0,1,0,0,1,1
289,1,1,0,1,0,1,0,1,1,1,1,1,1,1
290,1,0,1,0,1,0,1,0,0,1,1,0,1,1
291,0,0,0,0,0,0,0,0,0,0,1,1,1,18
292,0,0,1,0,0,0,1,0,1,1,1,0,1,4
293,1,0,0,0,1,1,0,1,1,1,1,1,1,1
294,1,1,1,1,0,0,1,0,1,0,1,0,1,2
295,1,1,0,0,1,0,0,0,1,0,1,0,1,3
296,0,1,1,0,0,0,1,0,1,1,0,0,1,1
297,0,1,0,0,0,0,0,0,1,1,1,0,1,7
298,1,0,0,1,0,0,0,0,1,1,1,1,0,2
299,0,0,0,0,0,0,0,1,1,1,1,0,1,4
300,1,1,0,1,1,0,0,1,1,0,1,1,1,8
301,0,0,0,1,0,0,0,1,1,0,1,1,0,9
302,1,0,0,0,0,0,0,0,0,1,1,1,0,5
303,0,0,1,1,0,0,1,0,1,1,1,1,1,2
304,1,1,0,0,1,0,0,1,1,0,1,1,1,3
305,0,0,1,0,0,1,1,0,0,1,0,1,1,2
306,1,1,1,0,0,0,0,0,1,0,1,0,0,1
307,0,0,0,0,1,0,1,0,1,1,1,1,1,3
308,1,1,1,1,1,1,1,1,1,0,1,0,1,3
309,0,0,1,1,0,0,1,1,1,1,0,0,1,5
310,0,1,1,0,0,1,0,0,1,1,1,1,1,1
311,1,0,1,0,1,0,0,0,1,1,1,0,1,2
312,1,1,1,1,0,1,1,1,1,0,0,1,1,1
313,0,0,1,1,0,0,0,1,1,1,1,1,1,2
314,0,0,1,1,1,0,1,0,1,1,1,0,1,1
315,0,1,0,0,0,1,1,0,0,1,0,1,1,1
316,0,0,0,0,0,0,0,0,1,0,1,0,1,6
317,0,1,1,0,0,1,0,0,0,1,0,1,1,1
318,1,0,0,0,0,0,0,0,0,1,1,0,1,8
319,0,1,0,1,0,0,0,1,0,1,1,1,1,1
320,0,0,1,0,0,0,0,0,1,1,1,0,0,5
321,0,0,1,0,0,1,0,0,1,1,1,1,1,4
322,0,0,0,1,0,0,0,0,1,0,1,1,0,2
323,1,1,0,0,1,1,0,0,1,0,0,1,1,4
324,1,1,1,0,1,0,0,0,1,1,1,1,1,1
325,1,0,1,1,1,0,1,1,1,0,1,0,1,1
326,1,1,0,0,0,0,1,0,1,0,1,1,1,2
