,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
141,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1
142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
143,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,82
144,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1
145,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
146,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,12
147,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1
148,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5
149,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,2
150,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,18
151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5
152,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,2
153,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,5
154,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,10
155,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,26
156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,76
157,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,5
158,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,2
159,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,129
161,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,3
162,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,8
163,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,139
164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
165,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,15
166,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
167,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,15
168,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1
169,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,4
170,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,2
171,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,3
172,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
173,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
174,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,15
175,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,12
176,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1
177,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1
178,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,4
179,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,4
180,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,22
181,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,52
182,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,3
183,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1
184,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
185,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2
186,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,10
187,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,12
188,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,5
189,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,24
190,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,4
191,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1
192,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,2
193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4
194,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1
195,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6
196,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3
197,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,15
198,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
199,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,54
200,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,17
201,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,27
202,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
203,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,71
204,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1
205,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,18
206,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,72
207,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1
208,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4
209,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,74
210,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,4
