,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,Data,Data,Data,Data,num
252,0,0,1,1,0,0,0,1,0,0,1,1,1,2
253,1,1,0,0,0,0,0,1,1,1,1,1,1,6
254,0,0,1,1,0,1,1,1,1,1,1,1,0,2
255,0,1,0,0,0,0,0,0,0,1,1,1,1,2
256,1,1,1,1,0,0,0,1,1,0,1,1,1,1
257,1,0,0,0,0,0,0,0,1,1,1,0,1,1
258,0,0,1,1,0,0,0,1,1,0,1,1,1,9
259,1,0,0,0,0,0,1,1,1,0,1,1,1,13
260,1,1,0,0,0,0,1,1,1,1,1,1,0,4
261,0,0,1,0,0,0,0,1,1,0,1,1,1,4
262,1,1,0,1,1,1,1,0,1,1,0,1,0,1
263,0,1,1,1,0,0,1,1,1,0,1,0,1,1
264,0,0,0,0,0,1,1,1,1,1,0,0,0,3
265,0,1,0,0,1,0,1,1,1,1,0,1,1,1
266,0,0,0,0,1,0,0,1,1,1,1,1,1,6
267,1,1,0,0,0,1,1,0,1,1,1,0,1,1
268,1,1,1,0,0,0,1,0,1,1,1,1,1,8
269,0,0,0,1,0,0,1,1,0,1,1,1,0,2
270,1,0,0,1,1,0,1,0,1,1,0,1,1,3
271,0,0,1,1,1,0,1,1,1,1,0,1,1,5
272,0,1,1,1,0,0,1,1,0,1,1,1,1,7
273,0,0,1,0,1,1,1,1,1,0,1,0,1,1
274,0,0,1,0,0,1,1,1,0,1,1,1,0,1
275,0,0,0,0,0,0,1,1,0,1,0,1,0,1
276,1,0,1,0,0,0,1,0,1,1,1,1,1,2
277,1,1,0,0,0,1,1,0,1,1,1,1,0,7
278,0,0,1,0,1,0,1,1,1,1,1,1,1,4
279,0,0,0,0,0,1,0,1,1,1,1,0,1,2
280,1,0,0,0,1,1,1,1,1,1,1,0,0,2
281,1,0,0,0,1,0,1,1,1,1,0,1,1,1
282,1,1,1,1,0,0,1,0,1,0,1,1,1,6
283,1,0,1,0,0,0,1,0,0,1,1,1,1,5
284,0,0,1,0,1,0,1,1,1,0,0,1,1,4
285,0,0,0,0,0,0,1,1,0,1,1,0,0,1
286,1,1,0,1,1,0,1,0,1,1,0,1,1,6
287,1,0,0,0,0,0,0,1,0,1,1,1,1,10
288,0,1,1,1,1,0,1,1,0,1,0,1,1,6
289,0,0,1,1,1,0,1,1,1,0,1,1,0,1
290,0,0,1,1,1,1,1,1,1,0,1,0,1,2
291,0,0,0,0,0,0,1,1,0,1,1,0,1,5
292,0,1,0,0,0,1,1,1,1,1,1,0,0,3
293,1,0,0,0,1,0,0,1,1,1,0,1,1,1
294,1,0,0,1,0,0,1,0,1,0,1,1,1,1
295,1,0,0,1,0,0,0,0,1,0,1,1,1,1
296,0,1,1,0,0,0,0,1,0,1,1,1,1,9
297,0,1,1,0,1,1,1,1,0,1,1,0,1,1
298,1,0,0,0,1,1,0,1,1,1,1,0,1,1
299,0,1,0,1,0,0,1,0,1,1,1,1,1,1
300,1,0,1,1,0,0,0,1,1,0,1,1,1,4
301,1,0,0,1,0,0,1,0,1,1,1,1,1,5
302,1,1,1,0,0,0,0,1,0,1,0,1,1,1
303,1,0,0,1,0,0,0,1,1,0,1,1,1,2
304,1,0,0,0,1,0,1,1,1,0,1,1,1,1
305,1,0,1,0,0,1,1,1,0,1,1,1,1,1
306,0,0,1,1,1,0,1,1,1,0,1,1,1,4
307,0,0,0,1,1,0,1,1,1,0,0,1,1,7
308,0,0,0,0,0,1,0,1,1,1,1,0,0,1
309,0,0,0,0,1,1,1,1,0,1,1,0,1,4
310,0,0,0,1,0,0,1,1,1,0,1,0,1,1
311,0,0,0,1,1,0,1,0,1,0,0,1,1,1
312,0,0,0,1,0,1,1,1,1,0,1,1,0,2
313,0,0,1,0,1,0,1,1,0,1,1,0,1,1
314,0,1,0,0,0,1,1,0,1,1,1,1,0,2
315,0,1,1,1,0,1,1,1,1,0,1,0,0,1
316,0,0,1,1,1,1,1,1,1,1,1,0,1,1
317,0,0,1,1,0,0,0,1,1,0,1,1,0,1
318,0,0,1,0,1,0,1,1,0,1,1,1,1,1
319,0,0,1,0,0,0,1,1,0,0,1,0,1,1
320,0,1,1,0,0,0,1,1,0,1,1,0,0,1
321,0,0,1,0,0,0,1,0,0,1,1,1,1,2
322,1,1,0,1,0,0,1,0,1,1,0,1,1,2
323,0,1,1,0,0,1,1,1,0,0,1,1,1,1
324,1,1,0,0,1,0,1,0,1,1,1,0,1,3
325,1,0,1,1,0,0,1,1,1,1,1,1,1,3
326,0,1,1,0,0,0,1,1,1,1,1,0,1,1
327,0,0,0,0,0,1,1,1,0,0,1,1,1,1
328,0,1,1,1,0,0,1,1,1,0,1,1,1,8
329,0,0,1,0,1,1,1,1,1,1,1,0,1,2
