,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,stab_8,stab_8,Data,Data,Data,num
146,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,11
147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
148,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
149,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,13
150,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,5
151,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,6
152,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,4
153,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4
154,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,6
155,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,3
156,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7
157,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,6
158,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,7
159,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5
160,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6
161,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,6
162,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,6
163,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
164,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,10
165,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
166,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
167,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,50
168,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,9
169,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
170,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9
171,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
172,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,5
173,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
174,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,17
175,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,13
176,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,20
177,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,9
178,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,9
179,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,19
180,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,2
181,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
182,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
183,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1
184,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,4
185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
186,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1
187,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,2
188,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
189,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,12
190,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,9
191,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
192,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9
193,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10
194,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,3
195,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,4
196,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5
197,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
198,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
199,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1
200,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,5
201,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,4
202,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
203,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3
204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
205,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,7
206,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11
207,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,4
208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
