,stab_1,stab_1,stab_2,stab_2,stab_3,stab_3,stab_4,stab_4,stab_5,stab_5,stab_6,stab_6,stab_7,stab_7,Data,Data,Data,num
147,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,15
148,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1
149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
150,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,19
151,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,260
152,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1
153,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,3
154,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,4
155,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1
156,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1
157,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,46
159,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,17
160,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16
161,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5
162,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,8
163,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1
164,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1
165,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
166,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,8
167,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,2
168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5
169,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,3
170,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,21
171,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,17
172,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
173,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,19
174,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,3
175,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,28
176,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1
177,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,3
178,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
179,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1
180,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16
181,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,25
182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,27
183,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,3
184,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1
185,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1
186,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1
187,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,2
188,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7
189,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,2
190,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
191,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4
192,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
193,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,2
194,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,5
195,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,21
196,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
197,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,15
198,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15
199,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1
200,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,6
